code,name,board,industry
605589,圣泉集团,上海证券交易所,基础化工
603259,药明康德,上海证券交易所,医药生物
830,鲁西化工,深圳证券交易所,基础化工
601066,中信建投,上海证券交易所,非银金融
688018,乐鑫科技,上海证券交易所,电子
601800,中国交建,上海证券交易所,建筑装饰
703,恒逸石化,深圳证券交易所,石油石化
338,潍柴动力,深圳证券交易所,汽车
301377,鼎泰高科,深圳证券交易所,机械设备
601766,中国中车,上海证券交易所,机械设备
600039,四川路桥,上海证券交易所,建筑装饰
2714,牧原股份,深圳证券交易所,农林牧渔
27,深圳能源,深圳证券交易所,公用事业
601019,山东出版,上海证券交易所,传媒
603225,新凤鸣,上海证券交易所,基础化工
300567,精测电子,深圳证券交易所,机械设备
601788,光大证券,上海证券交易所,非银金融
2085,万丰奥威,深圳证券交易所,汽车
603077,和邦生物,上海证券交易所,基础化工
688180,君实生物,上海证券交易所,医药生物
600166,福田汽车,深圳证券交易所,汽车
2736,国信证券,深圳证券交易所,非银金融
600497,驰宏锌锗,上海证券交易所,有色金属
737,北方铜业,深圳证券交易所,有色金属
2841,视源股份,深圳证券交易所,电子
600438,通威股份,上海证券交易所,电力设备
601995,中金公司,上海证券交易所,非银金融
2153,石基信息,深圳证券交易所,计算机
2311,海大集团,深圳证券交易所,农林牧渔
600312,平高电气,上海证券交易所,电力设备
688041,海光信息,上海证券交易所,电子
2472,双环传动,深圳证券交易所,汽车
688777,中控技术,上海证券交易所,机械设备
300760,迈瑞医疗,深圳证券交易所,医药生物
601136,首创证券,上海证券交易所,非银金融
601698,中国卫通,上海证券交易所,国防军工
601088,中国神华,上海证券交易所,煤炭
625,长安汽车,深圳证券交易所,汽车
600919,江苏银行,上海证券交易所,银行
600521,华海药业,上海证券交易所,医药生物
688728,格科微,上海证券交易所,电子
300003,乐普医疗,深圳证券交易所,医药生物
725,京东方A,深圳证券交易所,电子
2532,天山铝业,深圳证券交易所,有色金属
300759,康龙化成,深圳证券交易所,医药生物
603979,金诚信,上海证券交易所,有色金属
688568,中科星图,上海证券交易所,计算机
300373,扬杰科技,深圳证券交易所,电子
603658,安图生物,上海证券交易所,医药生物
600968,海油发展,上海证券交易所,石油石化
601236,红塔证券,上海证券交易所,非银金融
601328,交通银行,上海证券交易所,银行
605117,德业股份,上海证券交易所,电力设备
600132,重庆啤酒,上海证券交易所,食品饮料
600660,福耀玻璃,上海证券交易所,汽车
2384,东山精密,深圳证券交易所,电子
601009,南京银行,上海证券交易所,银行
600060,海信视像,上海证券交易所,家用电器
1389,广合科技,深圳证券交易所,电子
2185,华天科技,深圳证券交易所,电子
2460,赣锋锂业,深圳证券交易所,有色金属
601615,明阳智能,上海证券交易所,电力设备
2624,完美世界,深圳证券交易所,传媒
300015,爱尔眼科,深圳证券交易所,医药生物
600109,国金证券,上海证券交易所,非银金融
688303,大全能源,上海证券交易所,电力设备
600886,国投电力,上海证券交易所,公用事业
600760,中航沈飞,上海证券交易所,国防军工
603296,华勤技术,上海证券交易所,电子
2223,鱼跃医疗,深圳证券交易所,医药生物
601881,中国银河,上海证券交易所,非银金融
600655,豫园股份,上海证券交易所,商贸零售
600930,华电新能,上海证券交易所,公用事业
605499,东鹏饮料,上海证券交易所,食品饮料
300037,新宙邦,深圳证券交易所,电力设备
2415,海康威视,深圳证券交易所,计算机
600015,华夏银行,上海证券交易所,银行
2851,麦格米特,深圳证券交易所,电力设备
600737,中粮糖业,上海证券交易所,农林牧渔
600219,南山铝业,上海证券交易所,有色金属
300142,沃森生物,深圳证券交易所,医药生物
601985,中国核电,上海证券交易所,公用事业
603087,甘李药业,上海证券交易所,
786,北新建材,深圳证券交易所,建筑材料
600406,国电南瑞,上海证券交易所,电力设备
600346,恒力石化,上海证券交易所,石油石化
600176,中国巨石,上海证券交易所,建筑材料
688111,金山办公,上海证券交易所,计算机
603444,吉比特,上海证券交易所,传媒
600958,东方证券,上海证券交易所,非银金融
300896,爱美客,深圳证券交易所,美容护理
688578,艾力斯,上海证券交易所,医药生物
601928,凤凰传媒,上海证券交易所,传媒
300059,东方财富,深圳证券交易所,非银金融
300735,光弘科技,深圳证券交易所,电子
2831,裕同科技,深圳证券交易所,轻工制造
601688,华泰证券,上海证券交易所,非银金融
300408,三环集团,深圳证券交易所,电子
600483,福能股份,上海证券交易所,公用事业
600563,法拉电子,上海证券交易所,电子
601098,中南传媒,上海证券交易所,传媒
100,TCL科技,深圳证券交易所,电子
688172,燕东微,上海证券交易所,电子
729,燕京啤酒,深圳证券交易所,食品饮料
60,中金岭南,深圳证券交易所,有色金属
600030,中信证券,上海证券交易所,非银金融
300140,节能环境,深圳证券交易所,环保
300570,太辰光,深圳证券交易所,通信
300346,南大光电,深圳证券交易所,电子
2155,湖南黄金,深圳证券交易所,有色金属
2945,华林证券,深圳证券交易所,非银金融
600436,片仔癀,上海证券交易所,医药生物
601888,中国中免,上海证券交易所,商贸零售
600820,隧道股份,上海证券交易所,建筑装饰
600637,东方明珠,上海证券交易所,传媒
601166,兴业银行,上海证券交易所,银行
601390,中国中铁,上海证券交易所,建筑装饰
601727,上海电气,上海证券交易所,电力设备
601916,浙商银行,上海证券交易所,银行
2028,思源电气,深圳证券交易所,电力设备
600764,中国海防,上海证券交易所,国防军工
688313,仕佳光子,上海证券交易所,通信
601958,金钼股份,上海证券交易所,有色金属
878,云南铜业,深圳证券交易所,有色金属
601228,广州港,上海证券交易所,交通运输
300627,华测导航,深圳证券交易所,通信
300316,晶盛机电,深圳证券交易所,电力设备
600019,宝钢股份,上海证券交易所,钢铁
2773,康弘药业,深圳证券交易所,医药生物
300757,罗博特科,深圳证券交易所,机械设备
301200,大族数控,深圳证券交易所,机械设备
688520,神州细胞,上海证券交易所,医药生物
600098,广州发展,上海证券交易所,公用事业
600585,海螺水泥,上海证券交易所,建筑材料
983,山西焦煤,深圳证券交易所,煤炭
600809,山西汾酒,上海证券交易所,食品饮料
300803,指南针,深圳证券交易所,计算机
300115,长盈精密,深圳证券交易所,
600690,海尔智家,上海证券交易所,家用电器
601598,中国外运,上海证券交易所,交通运输
300418,昆仑万维,深圳证券交易所,传媒
600100,同方股份,上海证券交易所,计算机
898,鞍钢股份,深圳证券交易所,钢铁
2517,恺英网络,深圳证券交易所,传媒
657,中钨高新,深圳证券交易所,有色金属
600707,彩虹股份,上海证券交易所,电子
300919,中伟新材,深圳证券交易所,电力设备
603529,爱玛科技,上海证券交易所,汽车
601669,中国电建,上海证券交易所,建筑装饰
601216,君正集团,上海证券交易所,基础化工
688301,奕瑞科技,上海证券交易所,医药生物
600601,方正科技,上海证券交易所,电子
2821,凯莱英,深圳证券交易所,医药生物
600378,昊华科技,上海证券交易所,基础化工
603833,欧派家居,上海证券交易所,轻工制造
2131,利欧股份,深圳证券交易所,机械设备
2738,中矿资源,深圳证券交易所,有色金属
600309,万华化学,上海证券交易所,基础化工
601377,兴业证券,上海证券交易所,非银金融
601878,浙商证券,上海证券交易所,非银金融
600426,华鲁恒升,上海证券交易所,基础化工
528,柳工,深圳证券交易所,机械设备
2423,中粮资本,深圳证券交易所,非银金融
600905,三峡能源,上海证券交易所,公用事业
739,普洛药业,深圳证券交易所,医药生物
2600,领益智造,深圳证券交易所,电子
688008,澜起科技,上海证券交易所,电子
50,深天马A,深圳证券交易所,电子
2352,顺丰控股,深圳证券交易所,交通运输
688169,石头科技,上海证券交易所,家用电器
300487,蓝晓科技,深圳证券交易所,基础化工
600295,鄂尔多斯,上海证券交易所,钢铁
600927,永安期货,上海证券交易所,非银金融
623,吉林敖东,深圳证券交易所,医药生物
601866,中远海发,上海证券交易所,交通运输
688099,晶晨股份,上海证券交易所,电子
300001,特锐德,深圳证券交易所,电力设备
2203,海亮股份,深圳证券交易所,有色金属
688065,凯赛生物,上海证券交易所,基础化工
601717,中创智领,上海证券交易所,机械设备
39,中集集团,深圳证券交易所,机械设备
600332,白云山,上海证券交易所,医药生物
750,国海证券,深圳证券交易所,非银金融
62,深圳华强,深圳证券交易所,电子
601156,东航物流,上海证券交易所,交通运输
600029,南方航空,上海证券交易所,交通运输
603899,晨光股份,上海证券交易所,轻工制造
603260,合盛硅业,上海证券交易所,基础化工
601238,广汽集团,上海证券交易所,汽车
601100,恒立液压,上海证券交易所,机械设备
601399,国机重装,上海证券交易所,机械设备
601601,中国太保,上海证券交易所,非银金融
688708,佳驰科技,上海证券交易所,国防军工
600010,包钢股份,上海证券交易所,钢铁
